Scale;Weak;Medium;Strong
Anxiety;I am not very careful in my actions and am not scrupulous in matters of morality. I am clearly self-centred. I am not inclined to empathy and often behave rudely and harshly. I have a cynical view of the world.;I am often anxious, moody and unsure of myself. I am usually very sensitive and susceptible to the external influences of society. I tend to avoid failure, even at the cost of achieving goals. I am characterised by a well-developed sense of responsibility, conscientiousness, commitment, modesty and anxiety about small worldly problems. I often double-check what I have done and am overly self-critical.;I am very anxious, moody and insecure. I am usually very sensitive and subject to the external influences of society. I am very modest, responsible, conscientious and obliging. I always double-check what I have done and am usually overly self-critical. I have low self-esteem. I am very sensitive to my ugliness, to my external defects. I feel ‘different’ in society. I may have an inferiority complex.
Fears;I have no or very few specific fears, such as fear of snakes, fear of heights, etc. It is difficult to scare me with anything. I am not afraid of watching horror films.;I have one or two fears - like all normal people. I'm very afraid of snakes and spiders, but I'm not afraid of the dark or heights. I don't really like watching horror films, especially if they are very scary.;I have a lot of fears. I find it hard to deal with them. I am afraid of the dark, heights, speed and many other things. This often makes life difficult for me. I hate horror films.
Obsessiveness;I am not bothered by obsessive thoughts about problems and solutions. Nor do I notice any tendency towards compulsions and obsessions. I am not bored by intrusive thoughts and forbidden aggressive emotions.;Sometimes I get lost in thinking about problems and their solutions, but I don't mind. I sometimes notice obsessions that are not typical of other people. I sometimes have intrusive thoughts in my head, but I can deal with them.;I am often immersed in thinking about problems and their solutions. I am haunted by compulsions such as counting and saving unimportant things. I am unable to control intrusive thoughts and am obsessed with forbidden aggressive feelings.
Depression;I am always in a good mood and laugh a lot. I am not a tearful or sad person. I am optimistic. I am not affected by guilt and remorse for any reason. In general, I rarely sink into apathy and self-condemnation.;I probably have a mild case of depression or something like that. I can be brooding and tearful. Sometimes I'm overly pessimistic. I have even had suicidal thoughts. I often feel guilt and constant remorse about everything. In general, I'm a very sensitive person. Sometimes I sink into apathy.;I feel like I have severe depression. I am always brooding, prone to tears, pessimistic. I have suicidal thoughts. I have persistent feelings of guilt, constant remorse, hypersensitivity, apathy, a sense of worthlessness, loss of an unresolved object, and a sense of desolation.
Health Concerns;I don't pay much attention to how I feel in terms of health, it doesn't really bother me. I'm totally not a hypochondric.;I pay attention to my health, but I don't focus only on it. I am ambitious enough and can control myself.;I am an obvious hypochondriac and I care a lot about my own wellbeing. I tend to be very self-controlled. I am characterised by a high level of ambition and a contradictory need to conform to conventional norms.
Bizarre Mentation;I'm not a suspicious person. It seems to me that there is no point in always being suspicious and afraid of something. People around me usually seem very friendly and open. My acquaintances are also very happy to communicate and be friends with me. They say that I am a very relaxed and reasonable person.;I can be suspicious, but not often. I sometimes feel that people are plotting against me. I can be suspicious and afraid of something bad, but not often.;I'm a very suspicious person. I often feel that all the actions and words of the people around me have a different, dangerous meaning for me. Therefore, I am always cautious and suspicious of everything/everyone around me. People I know say I am delusional with paranoia, but I think they are conspiring against me.
Anger;I rarely get angry, and even more rarely do I feel angry. Moreover, I can never stay mad or furious for long. I am a true pacifist by nature - I do not accept violence of any kind. ;I sometimes lose control of myself when I get angry, although this doesn't happen very often. I may seem irritable and easily angered, but this is not always the case. I can sometimes be impatient and stubborn, but not to an extreme.;I lose control of myself when I get angry, and I get angry a lot! I have been told that I am very irritable and get angry easily. I am impatient and stubborn. I have no objection to physical or verbal violence.
Cynicism;I am always open to others and friendly, because people are very nice by nature. I do not like manipulators and I am not inclined to use other people for my own ends. I am very sensitive and generous. ;I am sometimes hostile and suspicious of others because people are often dishonest and unfair. Sometimes I can use other people for my own ends - I don't think that's a bad thing. I have sometimes been called a bit callous, selfish and pompous. I am occasionally envious.;I am told that I am hostile to others and that I hate the people around me. I am suspicious - I think people are manipulative, dishonest and unfair. So I have to be on my guard all the time! I feel misunderstood, although I'm not used to being gullible myself. I tend to take advantage of other people - I don't see anything wrong with that. I am often called insensitive, selfish, pompous, envious and judgmental.
Antisocial Practices;I think you should always acknowledge authority figures. I'm not a rebel by nature and I don't want to be. Laws and rules are made for our benefit. I never stole or was a hooligan at school and I never did anything socially reprehensible later on. I am not selfish and I am always honest with others.;I don't think it's always necessary to accept authority. I am often seen as a bit of a rebel who breaks the rules. I am ashamed to admit it, but I used to steal and bully when I was at school. Later I committed socially reprehensible acts. Sometimes I can be selfish and dishonest.;I do not recognise authority! In fact, I am basically a real rebel and I am against all laws. I will not hide the fact that I have committed socially reprehensible acts and even stolen. I was a real bully at school. I am told that I am selfish and tend to be exploitative.
Type A Behavior;I am not an ambitious person, I am not proactive and I am relaxed about my status in society. However, I am very calm. Although I have problems with self-organisation, scheduling and deadlines. It is extremely difficult to call me a workaholic - I prefer to maintain a balance between work and private life. I don't have a lot of work-related stress and I'm happy with my job. I don't have very high expectations of myself and I don't want others to have high expectations of me.;I am quite outgoing and ambitious. I'm quite organised and good with deadlines. I don't like delays, but I can be patient - it's not a problem. I feel I can take the initiative where necessary. Occasionally I become a workaholic.  I expect a lot from myself and I think others expect a lot from me too.;I am communicative, ambitious, tightly organised, high on status, impatient, anxious, proactive and concerned about time management. i am often described as a workaholic, but I am a high achiever. I am good at working with strict deadlines and hate both delays and ambivalence. I won't deny that I experience a lot of work-related stress and am not satisfied with my job. I have high expectations of myself because I think others have equally high expectations of me too.
Low Self Esteem;I have a lot of love for myself. I know other people can like me. I generally feel quite attractive and clumsy, a bit useless. I am generally self-confident and rarely feel uncomfortable in social situations.;I can't say that I love myself very much, although I don't hate myself. When I'm in a bad mood it can be hard for me to realise that other people might like me. I sometimes feel unattractive and clumsy, a bit useless. Overall, I'm usually confident, but there are times when I feel very uncomfortable with positive feedback. I am quite sensitive.;I can't say that I like myself. So it's hard for me to imagine other people liking me. I often feel unattractive, clumsy, useless and inadequate. In general, I lack self-confidence and feel very uncomfortable with positive feedback. I am hypersensitive.
Social Discomfort;I am definitely an extrovert by nature. I am outgoing and not shy. I enjoy parties and group activities. I am quite comfortable being in a crowd or a large group. I am very easy to get to know.;I am a bit of an introvert by nature. I can be shy and tend to avoid excessive socialising and big parties. Although sometimes I enjoy it. I am quite comfortable being alone. It may not be easy to make friends with me, but I try.;I am definitely an introvert by nature. I am very shy, avoid socialising and really dislike crowds, parties or group activities. I'm more comfortable when I'm alone. It may be difficult to get to know me. 
Work Interference;I do not have difficulty concentrating - I can concentrate quickly and do not get distracted. I don't feel anxious or tense. People around me are supportive of my efforts. I am generally self-confident. I do well at work and have no conflicts with my superiors, who praise me for my initiative. I know what my career goals are. I do not get tired easily and I am not lazy.;I sometimes have trouble concentrating. Sometimes, but rarely, I feel anxious or tense. I sometimes feel pressured and unsupported by others, but this passes quickly. Sometimes I feel a bit insecure. I am doing well at work, but there are conflicts with my superiors who think I lack initiative. I know what my professional goals are, but not very clearly. Sometimes I feel tired and lazy.;I have difficulty concentrating. I am often plagued by anxiety, tension, pressure from others and lack of support. I am extremely insecure. I am not very smooth at work: I have conflicts with my superiors who say I lack initiative. I am not sure that I am clear about my professional goals. I get tired easily.
Negative Treatment Indicators;I have a positive attitude towards doctors and treatment. I am very grateful to people who try to help me. I like change. I am generally optimistic, confident and determined.  I tend to believe that the future is mostly up to us. I can take responsibility for my own actions. If I suddenly feel mentally or physically unwell, I am likely to see a doctor.;I do not have the most positive attitude towards doctors and treatment. I am suspicious of people who try to help me. I do not really like changes. I am sometimes pessimistic, suspicious and indecisive.  I tend to believe that the future depends mainly on luck. I don't like to take responsibility for my own actions, although I know I should. If I suddenly feel mentally or physically ill, I probably won't go to the doctor.;I have an extremely negative attitude towards health care providers and treatment. I have a pessimistic attitude towards people who understand or help me. I am not comfortable with self-disclosure or change. I am basically a pessimistic person who does not handle frustration well, is defensive, suspicious, indecisive and believes that the future is down to luck. I avoid taking responsibility for my actions. I believe that mental or other illness is a sign of weakness.
Family Problems;I have a very loving and friendly family. They always support and encourage me in life. They accept me as I am, and I love them very much.;It doesn't happen often, but I do have problems with my family. We can argue and quarrel. Sometimes I feel under pressure from my parents, but I know they love me and I love them too.;Admitting it is difficult, but the family I grew up with was far from happy. I have always known that my relatives do not support or like me, and they even treat me with hostility. There is aggression between my relatives, which sometimes leads to big scandals. I often want to run away from home.
